panel_area_sqm,sunlight_hours,cloud_cover_pct,panel_age_years,power_output_kwh
20.0,9.2,6.7,2,94.56
46.5,4.8,71.9,12,204.07
5.5,11.3,35.5,10,98.46
29.2,3.5,18.3,2,100.28
40.0,9.9,31.4,20,186.73
27.3,6.0,38.1,3,99.54
30.0,5.3,70.9,20,198.15
27.6,6.8,62.2,4,159.71
42.7,10.0,62.1,18,210.87
32.4,2.8,10.8,20,205.23
5.4,10.6,39.3,3,53.22
21.2,5.4,39.2,11,174.16
45.4,3.8,23.8,20,261.37
12.0,11.3,8.4,15,77.32
18.8,4.9,0.6,4,84.37
18.4,2.8,76.3,9,181.56
43.7,5.3,27.0,14,190.37
30.6,6.4,77.0,14,193.14
44.8,11.7,75.2,13,185.55
30.8,3.7,32.3,4,147.42
31.4,5.1,75.5,17,221.73
6.1,2.3,43.8,14,137.29
28.3,3.9,46.1,2,165.55
30.5,7.5,72.4,14,170.64
49.2,2.8,55.9,16,218.63
